Drug	Synonym	Main Indications	WHO	Off-Patent	Vitro	Vivo	Cases	Obs.	Trials	Human	Targets	Date Update	DrugBank	PubChem	PubMed	
Clarithromycin		Bacterial infections	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	rplJ; KCNH2; SLCO1B1; SLCO1B3;	31/08/2017	https://www.drugbank.ca/drugs/DB01211	https://pubchem.ncbi.nlm.nih.gov/compound/81103-11-9	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Clarithromycin)+AND+cancer	
Clemastine		Allergies	No	Yes	Yes	No	No	No	No	No	HRH1;	21/08/2019	https://www.drugbank.ca/drugs/DB00283	https://pubchem.ncbi.nlm.nih.gov/compound/15686-51-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Clemastine)+AND+cancer	
Clioquinol		Anti-fungal, anti-infective	No	Yes	Yes	Yes	No	No	Yes	Yes		10/03/2020	https://www.drugbank.ca/drugs/DB04815	https://pubchem.ncbi.nlm.nih.gov/compound/130-26-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Clioquinol)+AND+cancer	
Clodronic Acid	Clodronate	Osteolytic lesions, hypercalcaemia and bone pain associated with skeletal metastases in patients with breast cancer or multiple myeloma	No	Yes	Yes	Yes	Yes	No	Yes	Yes	SLC25A4; SLC25A5; SLC25A6;	02/07/2018	https://www.drugbank.ca/drugs/DB00720	https://pubchem.ncbi.nlm.nih.gov/compound/10596-23-3	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Clodronic+Acid+OR+Clodronate)+AND+cancer	
Clofazimine		Leprosy	Yes	Yes	Yes	Yes	No	No	Yes	Yes	PPARG; KCNA3;	19/03/2019	https://www.drugbank.ca/drugs/DB00845	https://pubchem.ncbi.nlm.nih.gov/compound/2030-63-9	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Clofazimine)+AND+cancer	
Clofoctol		Bacterial infections	No	Yes	Yes	Yes	No	No	No	No		31/08/2017	https://www.drugbank.ca/drugs/DB13237	https://pubchem.ncbi.nlm.nih.gov/compound/37693-01-9	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Clofoctol)+AND+cancer	
Clomifene		Ovulatory dysfunction	Yes	Yes	Yes	Yes	No	No	Yes	Yes	ESR1; SHBG;	31/08/2017	https://www.drugbank.ca/drugs/DB00882	https://pubchem.ncbi.nlm.nih.gov/compound/911-45-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Clomifene)+AND+cancer	
Clomipramine		Obsessive Compulsive Disorder	Yes	Yes	Yes	Yes	No	No	No	No	SLC6A4; HTR2A; HTR2B; HTR2C; SLC6A2; GSTP1;	31/08/2017	https://www.drugbank.ca/drugs/DB01242	https://pubchem.ncbi.nlm.nih.gov/compound/303-49-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Clomipramine)+AND+cancer	
Clopidogrel		Stroke, post-myocardial infarction	Yes	Yes	Yes	Yes	No	No	Yes	Yes	P2RY12;	01/03/2018	https://www.drugbank.ca/drugs/DB00758	https://pubchem.ncbi.nlm.nih.gov/compound/113665-84-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Clopidogrel)+AND+cancer	
Clotrimazole		Fungal infections	Yes	Yes	Yes	Yes	No	No	No	No	ERG11; KCNN4; NR1I2; HCAR2;	31/08/2017	https://www.drugbank.ca/drugs/DB00257	https://pubchem.ncbi.nlm.nih.gov/compound/23593-75-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Clotrimazole)+AND+cancer	
Colchicine		Gout	No	Yes	Yes	Yes	No	No	Yes	Yes	TUBB;	31/08/2017	https://www.drugbank.ca/drugs/DB01394	https://pubchem.ncbi.nlm.nih.gov/compound/64-86-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Colchicine)+AND+cancer	
Cromoglicic Acid	Cromolyn, Cromoglycate, Cromoglicate	Asthma prophylaxis	No	Yes	Yes	Yes	No	No	No	No	S100P;	19/08/2020	https://www.drugbank.ca/drugs/DB01003	https://pubchem.ncbi.nlm.nih.gov/compound/16110-51-3	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Cromoglicic+Acid+OR+Cromolyn+OR++Cromoglycate+OR++Cromoglicate)+AND+cancer	
Cyclosporine	Cyclosporin	Graft versus host disease	No	Yes	Yes	Yes	Yes	No	Yes	Yes	CAMLG; PPP3R2; PPIA; PPIF;	01/02/2021	https://www.drugbank.ca/drugs/DB00091	https://pubchem.ncbi.nlm.nih.gov/compound/59865-13-3	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Cyclosporine+OR+Cyclosporin)+AND+cancer	
Cyproheptadine		Allergies	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	HRH1; HRH2; HTR2A; HTR2B; HTR2C; CHRM1; CHRM2; CHRM3; HTR7;	17/02/2020	https://www.drugbank.ca/drugs/DB00434	https://pubchem.ncbi.nlm.nih.gov/compound/129-03-3	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Cyproheptadine)+AND+cancer	
Dalteparin		DVT (prophylaxis), unstable angina/non-Q-wave myocardial infarction	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	SERPINC1; VEGFA; TFPI; SELP;	31/08/2017	https://www.drugbank.ca/drugs/DB06779	https://pubchem.ncbi.nlm.nih.gov/compound/9005-49-6	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Dalteparin)+AND+cancer	
Danazol		Endometriosis, fibrocystic breast disease, hereditary angioedema	No	Yes	Yes	Yes	No	No	Yes	Yes	ESR1; AR; PGR; GNRHR; GNRHR2; CCL2;	01/09/2017	https://www.drugbank.ca/drugs/DB01406	https://pubchem.ncbi.nlm.nih.gov/compound/17230-88-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Danazol)+AND+cancer	
Dapagliflozin		Diabetes	No	No	Yes	Yes	Yes	No	Yes	Yes	SLC5A2;	09/02/2022	https://www.drugbank.ca/drugs/DB06292	https://pubchem.ncbi.nlm.nih.gov/compound/461432-26-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Dapagliflozin)+AND+cancer	
Dapsone		Dermatitis herpetiformis, leprosy	Yes	Yes	Yes	Yes	No	No	Yes	Yes	folP2; folP1;	01/09/2017	https://www.drugbank.ca/drugs/DB00250	https://pubchem.ncbi.nlm.nih.gov/compound/80-08-0	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Dapsone)+AND+cancer	
Deferasirox		Acute iron intoxication, chronic iron overload	No	Yes	Yes	Yes	No	No	Yes	Yes		10/08/2021	https://www.drugbank.ca/drugs/DB01609	https://pubchem.ncbi.nlm.nih.gov/compound/201530-41-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Deferasirox)+AND+cancer	
Deferiprone		Iron overload in thalassemia major	No	Yes	Yes	Yes	No	No	No	No		14/08/2018	https://www.drugbank.ca/drugs/DB08826	https://pubchem.ncbi.nlm.nih.gov/compound/30652-11-0	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Deferiprone)+AND+cancer	
Deferoxamine	Desferrioxamine	Acute iron intoxication, chronic iron overload	Yes	Yes	Yes	Yes	No	No	Yes	Yes	APP;	01/09/2017	https://www.drugbank.ca/drugs/DB00746	https://pubchem.ncbi.nlm.nih.gov/compound/70-51-9	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Deferoxamine+OR+Desferrioxamine)+AND+cancer	
Defibrotide		Severe hepatic veno-occlusive disease	No	No	Yes	Yes	No	No	Yes	Yes	ADORA1; ADORA2A; ADORA2B;	18/03/2021	https://www.drugbank.ca/drugs/DB04932	https://pubchem.ncbi.nlm.nih.gov/compound/83712-60-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Defibrotide)+AND+cancer	
Desloratadine		Allergies	No	Yes	Yes	No	No	Yes	No	Yes	HRH1;	21/10/2020	https://www.drugbank.ca/drugs/DB00967	https://pubchem.ncbi.nlm.nih.gov/compound/100643-71-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Desloratadine)+AND+cancer	
Desmopressin		Diabetes Insipidus, bedwetting, hemophilia A, von Willebrand's disease	Yes	Yes	Yes	Yes	No	No	Yes	Yes	AVPR2; AVPR1A; AVPR1B;	01/09/2017	https://www.drugbank.ca/drugs/DB00035	https://pubchem.ncbi.nlm.nih.gov/compound/16679-58-6	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Desmopressin)+AND+cancer	
Diazoxide		Chronic intractable hypoglycaemia, acute hypertension	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	KCNJ11; CA1; CA2; ATP1A1; KCNMA1;	21/08/2019	https://www.drugbank.ca/drugs/DB01119	https://pubchem.ncbi.nlm.nih.gov/compound/364-98-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Diazoxide)+AND+cancer	
Diclofenac		OA, RA, AS	No	Yes	Yes	Yes	Yes	No	Yes	Yes	PTGS2; PTGS1;	01/09/2017	https://www.drugbank.ca/drugs/DB00586	https://pubchem.ncbi.nlm.nih.gov/compound/15307-86-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Diclofenac)+AND+cancer	
Diflunisal		OA, RA, mild to moderate pain	No	Yes	Yes	Yes	No	No	No	No	PTGS2; PTGS1;	01/09/2017	https://www.drugbank.ca/drugs/DB00861	https://pubchem.ncbi.nlm.nih.gov/compound/22494-42-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Diflunisal)+AND+cancer	
Digitoxin		Congestive HF, atrial fibrillation, atrial flutter, PAT, cardiogenic shock	No	Yes	Yes	Yes	No	No	Yes	Yes	ATP1A1;	01/09/2017	https://www.drugbank.ca/drugs/DB01396	https://pubchem.ncbi.nlm.nih.gov/compound/71-63-6	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Digitoxin)+AND+cancer	
Digoxin		Heart failure, atrial fibrillation	Yes	Yes	Yes	Yes	No	No	Yes	Yes	ATP1A1;	01/09/2017	https://www.drugbank.ca/drugs/DB00390	https://pubchem.ncbi.nlm.nih.gov/compound/20830-75-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Digoxin)+AND+cancer	
Dimethyl Fumarate		Psoriasis, Multiple Sclerosis	No	Yes	Yes	Yes	No	No	Yes	Yes	KEAP1; RELA;	01/09/2017	https://www.drugbank.ca/drugs/DB08908	https://pubchem.ncbi.nlm.nih.gov/compound/624-49-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Dimethyl+Fumarate)+AND+cancer	
Diphtheria vaccine	Diphtheria Toxoid, DTP vaccine, DT vaccine, Td vaccine	Active immunization against diphtheria infection	Yes	N/A	Yes	Yes	Yes	No	Yes	Yes		24/06/2021	Not found in DrugBank	Not found in PubChem	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Diphtheria+vaccine+OR+Diphtheria+Toxoid+OR++DTP+vaccine+OR++DT+vaccine+OR++Td+vaccine)+AND+cancer	
Dipyridamole		Thromboembolism Prophylaxis Post-Cardiac Valve Replacement	No	Yes	Yes	Yes	No	No	Yes	Yes	PDE10A; ADA; PDE5A; PDE4A; RCAN1; ORM1;	01/09/2017	https://www.drugbank.ca/drugs/DB00975	https://pubchem.ncbi.nlm.nih.gov/compound/58-32-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Dipyridamole)+AND+cancer	
Disulfiram		Chronic alcoholism	No	Yes	Yes	Yes	Yes	No	Yes	Yes	ALDH2; DBH;	06/08/2021	https://www.drugbank.ca/drugs/DB00822	https://pubchem.ncbi.nlm.nih.gov/compound/97-77-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Disulfiram)+AND+cancer	
Donepezil		Alzheimer's Disease	No	Yes	Yes	Yes	No	No	Yes	Yes	ACHE; HTR2A; BCHE; NOS1; TNFAIP6; IL1B; NFKB2; GRIN1;	17/10/2017	https://www.drugbank.ca/drugs/DB00843	https://pubchem.ncbi.nlm.nih.gov/compound/120014-06-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Donepezil)+AND+cancer	
Doxazosin		Hypertension, benign prostatic hyperplasia	No	Yes	Yes	Yes	No	No	No	No	ADRA1A; ADRA1D; KCNH2; ADRA1B;	17/10/2017	https://www.drugbank.ca/drugs/DB00590	https://pubchem.ncbi.nlm.nih.gov/compound/74191-85-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Doxazosin)+AND+cancer	
Doxycycline		Respiratory/urinary tract/ophtalmic infection	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes		17/10/2017	https://www.drugbank.ca/drugs/DB00254	https://pubchem.ncbi.nlm.nih.gov/compound/564-25-0	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Doxycycline)+AND+cancer	
Dronedarone		Paroxysmal or persistent atrial fibrillation	No	Yes	Yes	Yes	No	No	No	No	ADRA1A; ADRA1B; ADRA1D; ADRA2A; ADRA2B; ADRA2C; ADRB1; KCNH2; CACNA1C; CACNA1D; CACNA1F; CACNA1S; CACNB1; CACNB2; CACNB3; CACNB4; KCNK2; SCN5A; KCNJ3; KCNQ1; KCNJ12; SLC8A1; KCND3; THRA;	19/12/2018	https://www.drugbank.ca/drugs/DB04855	https://pubchem.ncbi.nlm.nih.gov/compound/141626-36-0	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Dronedarone)+AND+cancer	
Dutasteride		Benign prostatic hyperplasia	No	Yes	Yes	Yes	Yes	No	Yes	Yes	SRD5A2; SRD5A1;	14/08/2018	https://www.drugbank.ca/drugs/DB01126	https://pubchem.ncbi.nlm.nih.gov/compound/164656-23-9	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Dutasteride)+AND+cancer	
Ebastine		Allergies	No	Yes	Yes	Yes	No	Yes	No	Yes		09/02/2022	https://www.drugbank.ca/drugs/DB11742	https://pubchem.ncbi.nlm.nih.gov/compound/90729-43-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Ebastine)+AND+cancer	
Efavirenz		Anti-retroviral	Yes	Yes	Yes	Yes	No	No	Yes	Yes	pol;	17/10/2017	https://www.drugbank.ca/drugs/DB00625	https://pubchem.ncbi.nlm.nih.gov/compound/154598-52-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Efavirenz)+AND+cancer	
Eflornithine	DFMO	Adjunct to laser therapy for facial hirsutism in women, African trypanosomiasis	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	ODC1;	26/10/2017	https://www.drugbank.ca/drugs/DB06243	https://pubchem.ncbi.nlm.nih.gov/compound/70052-12-9	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Eflornithine+OR+DFMO)+AND+cancer	
Eltrombopag		Chronic immune (idiopathic) thrombocytopenia	No	No	Yes	Yes	No	No	Yes	Yes	MPL;	17/02/2021	https://www.drugbank.ca/drugs/DB06210	https://pubchem.ncbi.nlm.nih.gov/compound/496775-61-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Eltrombopag)+AND+cancer	
Emetine		Amoebiasis	No	Yes	Yes	Yes	No	No	No	No		17/02/2020	https://www.drugbank.ca/drugs/DB13393	https://pubchem.ncbi.nlm.nih.gov/compound/483-18-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Emetine)+AND+cancer	
Enalapril		Hypertension	Yes	Yes	Yes	Yes	No	No	Yes	Yes	ACE;	26/10/2017	https://www.drugbank.ca/drugs/DB00584	https://pubchem.ncbi.nlm.nih.gov/compound/75847-73-3	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Enalapril)+AND+cancer	
Enoxacin		Urinary tract infections	No	Unclear	Yes	Yes	No	No	No	No	gyrA; parC; TOP2A;	19/08/2020	https://www.drugbank.ca/drugs/DB00467	https://pubchem.ncbi.nlm.nih.gov/compound/74011-58-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Enoxacin)+AND+cancer	
Enoxaparin		Prophylaxis of venous thromboembolism	Yes	Yes	Yes	Yes	No	No	Yes	Yes	SERPINC1; F10; F2;	26/10/2017	https://www.drugbank.ca/drugs/DB01225	https://pubchem.ncbi.nlm.nih.gov/compound/9005-49-6	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Enoxaparin)+AND+cancer	
Epalrestat		Diabetes	No	Yes	Yes	Yes	No	No	Yes	Yes		26/10/2017	https://www.drugbank.ca/drugs/DB15293	https://pubchem.ncbi.nlm.nih.gov/compound/82159-09-9	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Epalrestat)+AND+cancer	
Esomeprazole		Antacid	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	ATP4A; DDAH1;	26/10/2017	https://www.drugbank.ca/drugs/DB00736	https://pubchem.ncbi.nlm.nih.gov/compound/119141-88-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Esomeprazole)+AND+cancer	
Ethacrynic Acid	Etacrynic acid	Diuretic	No	Yes	Yes	Yes	Yes	No	No	Yes	ATP1A1; SLC12A1; LEF1; GSTP1;	26/10/2017	https://www.drugbank.ca/drugs/DB00903	https://pubchem.ncbi.nlm.nih.gov/compound/58-54-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Ethacrynic+Acid+OR+Etacrynic+acid)+AND+cancer	
Etodolac		Analgesia	No	Yes	Yes	Yes	Yes	No	Yes	Yes	PTGS2; PTGS1; RXRA;	26/10/2017	https://www.drugbank.ca/drugs/DB00749	https://pubchem.ncbi.nlm.nih.gov/compound/41340-25-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Etodolac)+AND+cancer	
Etoricoxib		OA, RA, AS	No	Yes	Yes	Yes	No	No	Yes	Yes	PTGS2;	19/03/2019	https://www.drugbank.ca/drugs/DB01628	https://pubchem.ncbi.nlm.nih.gov/compound/202409-33-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Etoricoxib)+AND+cancer	
Famotidine		Antacid	No	Yes	Yes	Yes	No	No	Yes	Yes	HRH2;	26/10/2017	https://www.drugbank.ca/drugs/DB00927	https://pubchem.ncbi.nlm.nih.gov/compound/76824-35-6	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Famotidine)+AND+cancer	
Fasudil		Vasodilator	No	Unclear	Yes	Yes	No	No	No	No	PKIA; PRKACA; ROCK1; ROCK2;	26/10/2017	https://www.drugbank.ca/drugs/DB08162	https://pubchem.ncbi.nlm.nih.gov/compound/103745-39-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Fasudil)+AND+cancer	
Felodipine		Hypertension	No	Yes	Yes	Yes	No	No	No	No	CACNA1C; CACNA2D1; CACNB2; CACNA1D; CACNA1S; CACNA1H; CACNA2D2; CALM1; PDE1B; PDE1A; NR3C2; TNNC2; TNNC1;	26/10/2017	https://www.drugbank.ca/drugs/DB01023	https://pubchem.ncbi.nlm.nih.gov/compound/72509-76-3	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Felodipine)+AND+cancer	
Fenofibrate		Hyperlipidemia	No	Yes	Yes	Yes	Yes	No	Yes	Yes	PPARA; MMP25; NR1I2;	26/10/2017	https://www.drugbank.ca/drugs/DB01039	https://pubchem.ncbi.nlm.nih.gov/compound/49562-28-9	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Fenofibrate)+AND+cancer	
Fenoldopam		Acute hypertension	No	Yes	Yes	Yes	No	No	No	No	DRD5; DRD1; ADRA2B; ADRA2C; ADRA2A; ADRA1B; ADRA1D; ADRA1A;	21/08/2019	https://www.drugbank.ca/drugs/DB00800	https://pubchem.ncbi.nlm.nih.gov/compound/67227-56-9	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Fenoldopam)+AND+cancer	
Fexofenadine		Allergies	No	Yes	Yes	Yes	No	No	No	No	HRH1;	09/02/2022	https://www.drugbank.ca/drugs/DB00950	https://pubchem.ncbi.nlm.nih.gov/compound/83799-24-0	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Fexofenadine)+AND+cancer	
Finasteride		Benign prostatic hyperplasia	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	SRD5A2; SRD5A1; AKR1D1;	14/08/2018	https://www.drugbank.ca/drugs/DB01216	https://pubchem.ncbi.nlm.nih.gov/compound/98319-26-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Finasteride)+AND+cancer	
Fingolimod		Multiple Sclerosis	No	Yes	Yes	Yes	No	No	Yes	Yes	S1PR5; HDAC1; S1PR1; S1PR4; S1PR3;	06/08/2021	https://www.drugbank.ca/drugs/DB08868	https://pubchem.ncbi.nlm.nih.gov/compound/162359-55-9	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Fingolimod)+AND+cancer	
Flubendazole		Parasitic infection	No	Yes	Yes	Yes	No	No	No	No		30/10/2017	https://www.drugbank.ca/drugs/DB08974	https://pubchem.ncbi.nlm.nih.gov/compound/31430-15-6	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Flubendazole)+AND+cancer	
Flucytosine	5-Fluorocytosine	Candida and/or Cryptococcus	Yes	Yes	Yes	Yes	No	No	Yes	Yes	DNMT1; TMP1;	27/06/2018	https://www.drugbank.ca/drugs/DB01099	https://pubchem.ncbi.nlm.nih.gov/compound/2022-85-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Flucytosine+OR+5-Fluorocytosine)+AND+cancer	
Flunarizine		Migraine	No	Yes	Yes	Yes	No	No	No	No	CACNA1G; CACNA1H; CACNA1I; HRH1; CALM1;	19/12/2018	https://www.drugbank.ca/drugs/DB04841	https://pubchem.ncbi.nlm.nih.gov/compound/52468-60-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Flunarizine)+AND+cancer	
Fluoxetine	Prozac	Depression	Yes	Yes	Yes	Yes	No	No	No	No	SLC6A4; HTR2C; CHRNA2; CHRNA3; CHRNB4; CKS1B; KCNH2;	30/10/2017	https://www.drugbank.ca/drugs/DB00472	https://pubchem.ncbi.nlm.nih.gov/compound/54910-89-3	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Fluoxetine+OR+Prozac)+AND+cancer	
Fluphenazine		Psychotic disorders	Yes	Yes	Yes	Yes	No	No	Yes	Yes	DRD2; DRD1; CALM1; AR; HTR2A; HTR2C;	01/05/2019	https://www.drugbank.ca/drugs/DB00623	https://pubchem.ncbi.nlm.nih.gov/compound/69-23-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Fluphenazine)+AND+cancer	
Flurbiprofen		Analgesia	No	Yes	Yes	Yes	No	Yes	Yes	Yes	PTGS1; PTGS2;	09/08/2018	https://www.drugbank.ca/drugs/DB00712	https://pubchem.ncbi.nlm.nih.gov/compound/5104-49-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Flurbiprofen)+AND+cancer	
Fluspirilene		Psychotic disorders	No	Yes	Yes	Yes	No	No	No	No	DRD2; HTR2A; CACNG1;	30/10/2017	https://www.drugbank.ca/drugs/DB04842	https://pubchem.ncbi.nlm.nih.gov/compound/1841-19-6	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Fluspirilene)+AND+cancer	
Fluvastatin		Hyperlipidemia	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	HMGCR; HDAC2;	31/10/2017	https://www.drugbank.ca/drugs/DB01095	https://pubchem.ncbi.nlm.nih.gov/compound/93957-54-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Fluvastatin)+AND+cancer	
Fluvoxamine		Depression	No	Yes	Yes	Yes	Yes	No	No	Yes	SLC6A4; KCNH2;	31/10/2017	https://www.drugbank.ca/drugs/DB00176	https://pubchem.ncbi.nlm.nih.gov/compound/54739-18-3	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Fluvoxamine)+AND+cancer	
Fostamatinib		Chronic immune thrombocytopenia	No	No	Yes	Yes	No	No	Yes	Yes	SYK; ADORA3; VMAT2; FAAH; SLC29A1; UGT1A1; PDE5A; ALOX5; CTSS; CTSL; ABL1; CPK1; pknB; RPS6KA6; TYK2; COQ8A; JAK1; MET; NIM1K; STK26; PRKACA; STK24; STK3; TEC; STK33; STK35; STK36; STK38; STK38L; STK39; TAOK1; TAOK2; TAOK3; TBK1; TEK; TESK1; TGFBR1; TGFBR2; TIE1; TLK1; TLK2; TNIK; TNK1; TNK2; TNNI3K; TSSK1B; TTK; TXK; TYRO3; ULK1; ULK2; ULK3; WEE1; YES1; MAP3K19; ZAK; ZAP70; AAK1; ABL2; ACVR1; ACVR1B; COQ8B; ALK; ANKK1; AURKA; AURKB; AURKC; AXL; BLK; BMP2K; BMPR1B; BMPR2; BMX; BRAF; BTK; CAMK1; CAMK1D; CAMK1G; CAMK2A; CAMK2B; CAMK2D; CAMK2G; CAMKK1; CAMKK2; CASK; CSN3; CDK1; CDC42BPG; CDK4; CDKL1; CDKL2; CHEK1; CHEK2; CIT; CLK1; CLK2; CLK3; CLK4; CSF1R; CSK; CSNK1A1; CSNK2A1; CSNK2A2; DAPK1; DAPK2; DAPK3; DCLK1; DCLK2; DCLK3; DDR1; DDR2; DYRK1A; DYRK1B; EGFR; EIF2AK1; EIF2AK2; EIF2AK4; EPHA1; EPHA2; EPHA3; EPHA4; EPHA5; EPHA6; EPHA7; EPHA8; EPHB1; EPHB2; EPHB4; EPHB6; ERBB2; ERBB4; ERN1; FER; FES; FGFR1; FGFR2; FGFR3; FGR; FLT1; FLT3; FLT4; MTOR; FRK; FYN; GAK; GSK3A; GSK3B; HCK; HIPK2; HIPK3; ICK; IKBKB; IKBKE; INSR; INSRR; IRAK1; IRAK3; IRAK4; ITK; JAK2; JAK3; KDR; SIK3; KIT; LATS1; LCK; LIMK1; LIMK2; LRRK2; LTK; LYN; MAP2K2; MAP2K3; MAP2K5; MAP2K6; MAP3K1; MAP3K10; MAP3K11; MAP3K12; MAP3K13; MAP3K15; MAP3K2; MAP3K3; MAP3K4; MAP3K6; MAP3K9; MAP4K1; MAP4K2; MAP4K3; MAP4K4; MAP4K5; MAPK10; MAPK13; MAPK14; MAPK15; MAPK4; MAPK7; MAPK9; MAPKAPK5; MARK1; MARK2; MARK3; MARK4; CLASP1; MAST1; MATK; MELK; MERTK; MINK1; MKNK1; MKNK2; MST1R; MUSK; MYLK; MYLK2; MYLK3; MYLK4; MYO3A; NEK1; NEK11; NEK2; NEK3; NEK4; NEK5; NEK9; NTRK1; NTRK2; NTRK3; NUAK1; NUAK2; OXSR1; PAK1; PAK2; PAK3; PAK4; PAK6; PAK5; CDK16; CDK17; PDGFRA; PDGFRB; PDPK1; CDK15; PHKG1; PI4KB; PIK3C2B; PIK3C2G; PIK3CD; PIK3CG; PIM1; PIM3; PIP4K2B; PIP4K2C; PKMYT1; PKN1; PKN2; PLK1; PLK2; PLK3; PLK4; PRKAA1; PRKAA1; PRKACB; PRKCD; PRKCE; PRKCG; PRKCI; PRKCQ; PRKD1; PRKG2; PRPF4B; PTK2; PTK2B; PTK6; RAF1; RET; RIOK1; RIOK2; RIOK3; RIPK1; RIPK2; RIPK4; ROCK2; ROS1; RPS6KA1; RPS6KA3; SBK1; SBK3; SGK3; SIK1; SIK2; SLK; SNRK; SRC; SRMS; STK10; STK16; STK17A; STK17B; STK32A;	04/03/2021	https://www.drugbank.ca/drugs/DB12010	https://pubchem.ncbi.nlm.nih.gov/compound/901119-35-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Fostamatinib)+AND+cancer	
Ganciclovir		Anti-viral	No	Yes	Yes	Yes	Yes	No	Yes	Yes	TK;	28/06/2018	https://www.drugbank.ca/drugs/DB01004	https://pubchem.ncbi.nlm.nih.gov/compound/82410-32-0	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Ganciclovir)+AND+cancer	
